The Evil Within,3.4,1.5000000000000002,1.8399999999999999,0.24,0.56,4.15
Mega Man 3,3.4,0.68,0.1,0.39,0,1.17
Lollipop Chainsaw,3.4,0.5700000000000001,0.33999999999999997,0.13,0.13,1.1600000000000001
Rocket League,3.4,0.15,0.69,0,0.24000000000000005,1.05
Fallout 3,3.4,5.56,3.11,0.16,1.11,9.959999999999999
Sonic Unleashed,3.3,2.75,1.3800000000000001,0.03,0.7999999999999999,4.95
Metal Gear Solid V: Ground Zeroes,3.3,1.62,1.5400000000000005,0.9000000000000001,0.5800000000000001,4.660000000000001
Dark Souls II,3.3,2.58,1.86,0.98,0.7000000000000001,6.139999999999999
The Lord of the Rings: The Two Towers,3.3,3.33,2.4999999999999996,0.08,0.75,6.65
Tomb Raider,3.3,3.25,2.04,0.13,0.24,5.66
Luigi's Mansion: Dark Moon,3.3,1.78,1.39,1.1,0.3,4.58
Final Fantasy XIII-2,3.3,2.28,2.1,1.82,0.6400000000000001,6.840000000000001
Mario vs. Donkey Kong,3.3,0.68,0.25,0.21,0.02,1.17
Mortal Kombat X,3.3,2.4699999999999998,0.97,0,0.6,4.050000000000001
Mega Man X8,3.3,0.14,0.11,0,0.04,0.29
Grand Theft Auto III,3.3,6.99,4.51,0.3,1.3,13.1
Spore,3.3,0.03,1.06,0,0.09,1.17
Need for Speed: Hot Pursuit,3.3,2.3800000000000003,2.67,0.03,0.8,5.89
Gun,3.3,1.5,0.2,0,0.18,1.8699999999999999
